,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
20158,less wealthy,11369,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/10/2019,02B,Y,0,10/10/2019,40.76013326,-73.87748942,403,22,35100,4033593,4013890031,QN28
20159,wealthier,10030,"Juice, Smoothies, Fruit Salads",2/12/2019,08A,N,1,2/12/2019,40.816733500000005,-73.94638229,110,9,22102,1059494,1019600113,MN03
20160,less wealthy,11103,Hamburgers,9/20/2019,02H,Y,1,9/20/2019,40.76181252,-73.9166962,401,22,15500,4010681,4006600086,QN70
20161,less wealthy,11213,Chicken,4/29/2019,05D,Y,1,4/29/2019,40.6644681,-73.93151752,309,41,35500,3038295,3014200001,BK63
20162,wealthier,10012,Café/Coffee/Tea,2/25/2019,10B,N,1,2/25/2019,40.72893581,-74.00075408,102,3,6500,1008322,1005260061,MN23
20163,wealthier,10036,American,7/18/2019,04L,Y,1,7/18/2019,40.75857251,-73.98315019,105,4,12500,1022670,1009990053,MN17
20164,less wealthy,11354,Japanese,3/18/2019,04J,Y,1,3/18/2019,40.76139173,-73.83289522,407,20,86900,4534920,4049707501,QN22
20165,less wealthy,11237,Chicken,9/16/2019,06F,Y,1,9/16/2019,40.70359706,-73.9181109,304,37,44300,3074245,3032590033,BK77
20166,less wealthy,11421,American,4/17/2019,04L,Y,1,4/17/2019,40.69200002,-73.86307558,409,30,1200,4181138,4088430115,QN53
20167,less wealthy,11220,Asian,2/13/2019,06D,Y,1,2/13/2019,40.63925291,-74.00562814,312,38,10600,3138785,3056650001,BK34
20168,less wealthy,11416,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/13/2019,05D,Y,1,2/13/2019,40.68481728,-73.84400934,409,32,4001,4189376,4091040005,QN53
20169,less wealthy,11364,Korean,6/19/2019,10E,N,1,6/19/2019,40.7493544,-73.75552368,411,23,137700,4163157,4076440033,QN42
20170,wealthier,10038,Pizza,4/16/2019,10F,N,1,4/16/2019,40.71015311,-74.00764686,101,1,1502,1001205,1000780043,MN25
20171,less wealthy,11225,Sandwiches,5/21/2019,10B,N,1,5/21/2019,40.65795895,-73.95035245,309,40,80200,3115628,3050440052,BK60
20172,less wealthy,11354,Fruits/Vegetables,8/22/2019,10J,N,1,8/22/2019,40.76677771,-73.8315387,407,20,86900,4112021,4049500078,QN22
20173,wealthier,10012,Middle Eastern,12/27/2019,08C,N,1,12/27/2019,40.72953965,-74.00085872,102,1,6500,1077112,1005400004,MN23
20174,wealthier,10006,Sandwiches/Salads/Mixed Buffet,4/8/2019,10F,N,1,4/8/2019,40.70942272,-74.01110226,101,1,1300,1001068,1000627501,MN25
20175,less wealthy,11413,Bakery,5/2/2019,10I,N,1,5/2/2019,40.678057200000005,-73.74350646,413,31,63000,4436538,4129640019,QN66
