,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
3054,ANGELICA PIZZERIA,Brooklyn,11217,Pizza/Italian,4/18/2019,06C,Y,1,4/18/2019,40.6878506,-73.9814734,302,33,3700,3000515,3001660037,BK38
3055,TROPICAL II RESTAURANT,Queens,11101,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/17/2019,04L,Y,0,10/17/2019,40.73758229,-73.92978217,402,26,18700,4003358,4002340001,QN31
3056,COLES DOCK SIDE RESTAURANT,Staten Island,10308,Italian,3/19/2019,10F,N,1,3/19/2019,40.54250386,-74.14249594,503,51,15603,5066181,5052060028,SI54
3057,PEPPAS JERK CHICKEN RESTAURANT,Brooklyn,11226,Caribbean,5/23/2019,10F,N,1,5/23/2019,40.65495161,-73.95973235,314,40,50803,3115931,3050540035,BK42
3058,PEPPINO'S,Brooklyn,11209,Pizza,2/14/2019,06D,Y,1,2/14/2019,40.62986785,-74.02845377,310,43,6400,3149753,3059590043,BK31
3059,GEN RESTAURANT,Brooklyn,11238,Japanese,6/11/2019,10F,N,1,6/11/2019,40.67766598,-73.96372761,308,35,20500,3028235,3011470001,BK64
3060,GRILL POINT,Queens,11367,Jewish/Kosher,12/23/2019,04H,Y,1,12/23/2019,40.72992802,-73.82343463,408,24,77902,4143180,4066160037,QN37
3061,UNCLE BILL'S DINER,Queens,11354,American,3/11/2019,10F,N,1,3/11/2019,40.76973572,-73.83473349,407,20,86900,4100747,4043690001,QN22
3062,FULTON HOT DOG KING,Brooklyn,11201,Hotdogs,4/4/2019,02G,Y,1,4/4/2019,40.69015386,-73.98413033,302,33,3700,3000449,3001570020,BK38
3063,LITTLE ITALY PIZZA,Manhattan,10036,Pizza/Italian,10/28/2019,10F,N,1,10/28/2019,40.75613761,-73.98120889,105,4,9600,1034267,1012610112,MN17
3064,THE HOUSE OF BREWS,Manhattan,10036,American,1/2/2020,08A,N,0,,40.76050285,-73.98960032,104,3,12700,1025043,1010370006,MN15
3065,SHARAN DELI,Manhattan,10018,Delicatessen,11/22/2019,10F,N,1,11/22/2019,40.75561461,-73.9918931,104,3,11500,1013648,1007620048,MN15
3066,CUCINA FRESCA,Staten Island,10306,Pizza/Italian,6/12/2019,06C,Y,1,6/12/2019,40.58150035,-74.11176313,502,50,11402,5095447,5035780009,SI45
3067,GROUNDED,Manhattan,10014,Café/Coffee/Tea,10/8/2019,06C,Y,1,10/8/2019,40.73811974,-74.00335593,102,3,7700,1011038,1006150062,MN23
3068,FORTY CARROTS,Manhattan,10012,Café/Coffee/Tea,1/9/2020,06D,Y,0,1/9/2020,40.72230994,-73.99939752,102,1,4500,1079922,1004830007,MN24
3069,MAISON MAY,Brooklyn,11205,French,6/11/2019,10H,N,1,6/11/2019,40.68946192,-73.96933914,302,35,19700,3059140,3021050033,BK69
3070,MARGARITA SALOON,Manhattan,10036,Mexican,1/2/2020,09C,N,1,1/2/2020,40.75887785,-73.98860431,104,3,12100,1024992,1010350036,MN15
3071,HOMESTEAD GOURMET SHOP,Queens,11415,Delicatessen,9/19/2019,06C,Y,1,9/19/2019,40.70839253,-73.83071656,409,29,13600,4079732,4033380001,QN60
3072,FIORE'S PIZZA,Manhattan,10012,Pizza,9/19/2019,10F,N,1,9/19/2019,40.72866408,-74.00016597,102,1,6500,1008685,1005390040,MN23
3073,VENICE PIZZA,Queens,11355,Pizza,1/13/2020,10F,N,1,1/13/2020,40.75736031,-73.82235817,407,20,85700,4117042,4051810048,QN22
3074,VILLAGE VANGUARD,Manhattan,10014,American,1/16/2020,08A,N,1,1/16/2020,40.73599808,-74.00143976,102,3,7100,1010941,1006130068,MN23
3075,SUBWAY,Staten Island,10314,Sandwiches,11/14/2019,04A,Y,0,11/14/2019,40.6131684,-74.1211629,501,49,16901,5017876,5007070016,SI07
3076,SORRENTO'S PIZZERIA,Bronx,10461,Pizza/Italian,9/25/2019,04L,Y,0,9/25/2019,40.85441884,-73.85456671,211,13,28800,2049199,2043070028,BX49
3077,LE GOURMET,Manhattan,10065,American,3/21/2019,02G,Y,1,3/21/2019,40.76544433,-73.95773032,108,5,11800,1044758,1014430024,MN31
3078,EXTRA VIRGIN,Manhattan,10014,Mediterranean,6/26/2019,10B,N,1,6/26/2019,40.73528715,-74.00325836,102,3,7300,1010860,1006127503,MN23
3079,MASTRO'S STEAKHOUSE,Manhattan,10019,Steak,4/9/2019,06D,Y,1,4/9/2019,40.76074583,-73.97981783,105,4,13100,1023158,1010040029,MN17
3080,STARBUCKS,Manhattan,10019,Café/Coffee/Tea,2/27/2019,10F,N,1,2/27/2019,40.76200126,-73.98736199,104,3,12700,1083732,1010400050,MN15
3081,LA CANOA,Queens,11385,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/3/2019,08A,N,0,10/3/2019,40.70452546,-73.90812639,405,34,54700,4082889,4034670013,QN20
3082,"FLOYD, NY",Brooklyn,11201,American,5/30/2019,10F,N,1,5/30/2019,40.69060227,-73.99566204,302,33,700,3002741,3002750017,BK09
3083,STONE PARK CAFE,Brooklyn,11215,American,10/10/2019,04L,Y,1,10/10/2019,40.6728836,-73.98321879,306,39,13500,3020905,3009740044,BK37
3084,ZABLOZKIS,Brooklyn,11249,American,5/29/2019,06C,Y,1,5/29/2019,40.7182846,-73.95992842,301,33,55500,3062062,3023260031,BK73
3085,THE RANDOLPH AT BROOME,Manhattan,10013,American,10/4/2019,04K,Y,1,10/4/2019,40.71974622,-73.99499635,102,1,4100,1006944,1004700050,MN24
3086,MULBERRY STREET BAR,Manhattan,,Italian,3/12/2019,10B,N,1,3/12/2019,0,0,,,,,1,
3087,POSTO,Manhattan,10003,Italian,8/21/2019,06C,Y,1,8/21/2019,40.7349154,-73.98304073,106,2,4800,1020461,1009240001,MN21
3088,59E59 BAR,Manhattan,10022,American,5/24/2019,08A,N,1,5/24/2019,40.76330473,-73.97072732,108,4,11401,1040755,1013740030,MN40
3089,MCDONALD'S,Queens,11385,Hamburgers,5/13/2019,10F,N,1,5/13/2019,40.71310951,-73.90957903,405,30,59500,4059300,4026390007,QN20
3090,MCDONALD'S,Queens,11419,Hamburgers,11/25/2019,08A,N,1,11/25/2019,40.68632803,-73.82393634,410,28,15802,4203739,4095570042,QN55
3091,JOHNY'S LUNCHEONETTE,Manhattan,10001,American,12/3/2019,10B,N,1,12/3/2019,40.74455603,-73.99278585,104,3,9100,1014987,1008000055,MN13
3092,CROCODILE LOUNGE,Manhattan,10003,Pizza,7/26/2019,06E,Y,0,7/26/2019,40.7319402,-73.98395797,106,2,4800,1020398,1009210015,MN21
3093,FRANKIES 457,Brooklyn,11231,Italian,10/5/2019,,,1,,40.67748781,-73.99823343,306,39,7700,3008065,3004700005,BK33
3094,LUCIANO'S,Brooklyn,11201,American,1/2/2019,10B,N,1,1/2/2019,40.69370019,-73.98478579,302,33,1500,3348771,3020470040,BK38
3095,NEIL'S COFFEE SHOP,Manhattan,10021,American,11/20/2019,04L,Y,1,11/20/2019,40.76900892,-73.96321918,108,4,12000,1042507,1014040051,MN40
3096,BRASS MONKEY,Manhattan,10014,American,9/26/2019,09B,N,1,9/26/2019,40.74055133,-74.00857418,102,3,7900,1012206,1006450023,MN23
3097,CAFE HENRI,Queens,11101,French,2/22/2019,10F,N,1,2/22/2019,40.74260081,-73.9535226,402,26,700,4000224,4000410005,QN31
3098,IL PICCOLO BUFALO,Manhattan,10013,Italian,9/13/2019,,,1,,40.7186978,-73.99761907,102,1,4100,1003079,1002360025,MN24
3099,SUBWAY,Manhattan,10019,Sandwiches,2/25/2019,10F,N,1,2/25/2019,40.76157821,-73.98445617,105,3,12500,1024803,1010210048,MN17
3100,"DUNKIN', BASKIN ROBBINS",Queens,11385,Donuts,7/19/2019,06D,Y,1,7/19/2019,40.70193954,-73.88090039,405,30,62500,4089754,4036860056,QN19
3101,RICARDO STEAK HOUSE,Manhattan,10029,Steak,5/30/2019,09C,N,1,5/30/2019,40.79338923,-73.94042407,111,8,18000,1052467,1016600023,MN34
3102,RUBY'S & LITTLE RUBY'S,Manhattan,10012,American,1/10/2020,10F,N,1,1/10/2020,40.72230164,-73.99613979,102,1,4300,1007532,1004950038,MN24
3103,COZY COTTAGE RESTAURANT,Bronx,10466,American,12/5/2019,10F,N,1,12/5/2019,40.88612708,-73.8275751,212,12,48400,2097879,2049530135,BX03
3104,MEZE,Brooklyn,11219,Greek,9/26/2019,10B,N,1,9/26/2019,40.62528483,-74.00222629,310,38,19400,3142552,3057610010,BK30
3105,SHAMAS DELI,Manhattan,10018,American,5/22/2019,10F,N,1,5/22/2019,40.75310829,-73.98786177,105,3,10900,1015263,1008130064,MN17
3106,LOBO,Brooklyn,11201,Tex-Mex,11/7/2019,08A,N,1,11/7/2019,40.68654816,-73.9938919,306,39,4500,3003416,3003070030,BK33
3107,NEW DAWN RESTAURANT,Queens,11101,American,11/7/2019,04K,Y,1,11/7/2019,40.75433967,-73.94057824,401,26,3300,4004955,4004090016,QN68
3108,CAFE METRO,Brooklyn,,Soups & Sandwiches,4/2/2019,10F,N,1,4/2/2019,0,0,,,,,3,
3109,SAI'S CAFE,Brooklyn,11219,Chinese,12/19/2019,02B,Y,1,12/19/2019,40.63298932,-74.00568165,312,38,21400,3141192,3057150063,BK88
3110,D'ANGELO'S PIZZA,Bronx,10469,Pizza,7/9/2019,10I,N,1,7/9/2019,40.87539563,-73.86024481,212,12,37000,,2,BX44
3111,SWAGAT INDIAN RESTAURANT,Manhattan,10001,Indian,8/28/2019,02H,Y,1,8/28/2019,40.74806937,-73.99340984,105,3,9500,1014288,1007790035,MN17
3112,STARBUCKS,Manhattan,10011,Café/Coffee/Tea,2/13/2019,10F,N,1,2/13/2019,40.74545928,-73.99891732,104,3,9300,1013429,1007467503,MN13
3113,WENDY'S,Staten Island,10303,Hamburgers,1/2/2020,10F,N,1,1/2/2020,40.62499759,-74.14761163,501,49,23900,5029212,5014770041,SI12
3114,THE DUPLEX,Manhattan,10014,American,12/17/2019,04N,Y,1,12/17/2019,40.73368972,-74.0023526,102,3,7300,1082224,1006100001,MN23
3115,D'ALEO'S PIZZERIA,Queens,11421,Pizza,1/14/2020,10F,N,1,1/14/2020,40.69286503,-73.85449134,409,32,1800,4184218,4089320004,QN53
3116,ONE WAY DELI,Brooklyn,11242,Delicatessen,2/25/2019,06D,Y,1,2/25/2019,40.69323696,-73.99066022,302,33,900,3002094,3002500001,BK09
3117,FRANKIE'S COCKTAIL LOUNGE,Brooklyn,11226,American,6/14/2019,10F,N,1,6/14/2019,40.64673375,-73.95257703,317,40,79200,3117957,3051370001,BK95
3118,SERAFINA BROADWAY,Manhattan,10019,Italian,1/10/2020,04N,Y,1,1/10/2020,40.76448449,-73.98165055,105,4,13700,1024858,1010260041,MN17
3119,SHUN FOOK CHINESE RESTAURANT,Queens,11420,Chinese,1/7/2019,09C,N,1,1/7/2019,40.67026094,-73.82095084,410,32,83800,4256619,4118060024,QN55
3120,MINI BAR,Brooklyn,11231,American,3/26/2019,04C,Y,1,3/26/2019,40.67743017,-73.99828391,306,39,6500,3005516,3003740033,BK33
3121,STARBUCKS,Manhattan,10036,Café/Coffee/Tea,5/29/2019,10F,N,1,5/29/2019,40.75684919,-73.98597329,105,4,11900,1022610,1009960001,MN17
3122,FIRST OASIS,Brooklyn,11209,Mediterranean,2/14/2019,04C,Y,1,2/14/2019,40.6181252,-74.03027136,310,43,5800,3155115,3061030037,BK31
3123,LA BOITE EN BOIS,Manhattan,10023,French,10/30/2019,04L,Y,1,10/30/2019,40.77455472,-73.97994722,107,6,15300,1028438,1011210002,MN14
3124,BRANDY LIBRARY LOUNGE,Manhattan,10013,French,7/30/2019,06D,Y,1,7/30/2019,40.71983941,-74.00740267,101,1,3300,1002160,1001907505,MN24
3125,BROOKLYN BAGEL & COFFEE COMPANY,Queens,11105,Bagels/Pretzels,1/8/2020,08A,N,1,1/8/2020,40.77475625,-73.90874762,401,22,11300,4016549,4008240004,QN72
3126,HORUS KABAB HOUSE,Manhattan,10009,Middle Eastern,6/27/2019,06D,Y,1,6/27/2019,40.7245674,-73.98156057,103,2,2602,1004668,1003890001,MN28
3127,CLIFFORD CHANCE CAFETERIA,Manhattan,10019,American,5/29/2019,06E,Y,1,5/29/2019,40.76048473,-73.97793723,105,4,10400,1071418,1012687501,MN17
3128,DONs BOGAM,Manhattan,,Korean,9/5/2019,02G,Y,1,9/5/2019,0,0,,,,,1,
3129,WENDY'S,Staten Island,10314,Hamburgers,4/16/2019,10F,N,1,4/16/2019,40.58877641,-74.19257271,502,50,29102,5134938,5026380060,SI05
3130,WENDY'S,Staten Island,10309,Hamburgers,4/9/2019,06D,Y,1,4/9/2019,40.5213531,-74.21714165,503,51,22600,5155571,5077020001,SI11
3131,KETTLE OF FISH,Manhattan,10014,American,5/17/2019,06E,Y,1,5/17/2019,40.73369795,-74.00229487,102,3,7300,1082220,1006100001,MN23
3132,ONE 7 KARAOKE,Manhattan,10011,American,10/18/2019,08A,N,1,10/18/2019,40.73839133,-73.99334584,105,3,5400,1015413,1008190022,MN13
3133,POLLOS MARIO,Queens,11372,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/2/2019,10B,N,1,5/2/2019,40.74805342,-73.87995867,403,21,27900,4036259,4014740037,QN28
3134,HOLLYWOOD DINER,Manhattan,10011,American,10/25/2019,10F,N,1,10/25/2019,40.73880865,-73.99576715,105,3,5400,1015370,1008180001,MN13
3135,ISE,Manhattan,10003,Japanese,10/29/2019,05D,Y,1,10/29/2019,40.72909733,-73.99020778,103,2,3800,1006698,1004637501,MN22
3136,THE KETTLE BLACK,Brooklyn,11209,American,1/6/2020,10F,N,1,1/6/2020,40.623233,-74.03116345,310,43,6000,3153441,3060430047,BK31
3137,LE PAIN QUOTIDIEN,Manhattan,10011,Sandwiches,2/4/2019,02B,Y,1,2/4/2019,40.73240787,-73.99624384,102,3,6300,1009432,1005720044,MN23
3138,STARBUCKS,Manhattan,10028,Café/Coffee/Tea,4/18/2019,10F,N,1,4/18/2019,40.77225363,-73.94981562,108,5,13600,1050368,1015600021,MN32
3139,BAR VELOCE,Manhattan,10011,American,11/2/2018,04L,Y,1,11/2/2018,40.74248666,-73.99682428,104,3,8700,1014035,1007700039,MN13
3140,PADDY DUGGANS PUB,Queens,11104,"Bottled beverages, including water, sodas, juices, etc.",1/10/2019,04A,Y,1,1/10/2019,40.74256418,-73.91762255,402,26,23500,4001545,4001510132,QN31
3141,DUNKIN',Staten Island,10308,Donuts,1/2/2020,10F,N,1,1/2/2020,40.56024195,-74.16411287,503,51,14607,5073068,5054940055,SI54
3142,POPEYES,Bronx,10455,Chicken,3/4/2019,10F,N,1,3/4/2019,40.81232859,-73.90467511,201,8,7900,2004898,2026740015,BX34
3143,PARAMOUNT BAR & GRILL,Manhattan,10036,American,8/1/2019,02B,Y,0,8/1/2019,40.75912464,-73.98634822,105,3,12500,1024737,1010180006,MN17
3144,FIGAROLA PIZZERIA,Manhattan,10065,Pizza,3/21/2019,10F,N,1,3/21/2019,40.76576537,-73.95747019,108,5,11600,1045578,1014630045,MN31
3145,LEONE'S PIZZERIA & RESTAURANT,Queens,11385,Pizza/Italian,9/25/2019,04N,Y,1,9/25/2019,40.71066185,-73.86548989,405,30,63700,4092500,4038090136,QN19
3146,SUNNY'S,Brooklyn,11231,American,1/14/2020,08C,N,1,1/14/2020,40.67573265,-74.01697301,306,38,5300,3008865,3006100005,BK33
3147,TAMBORIL RESTAURANT,Bronx,10452,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",9/27/2019,06B,Y,1,9/27/2019,40.84608128,-73.91985046,205,14,21301,2008774,2028740098,BX36
3148,TU CASA RESTAURANT,Queens,11415,Peruvian,11/12/2019,02G,Y,0,11/12/2019,40.7060523,-73.83144028,409,29,13600,4192758,4092300087,QN60
3149,UKRAINIAN RESTAURANT,Manhattan,,Eastern European,11/20/2019,06D,Y,1,11/20/2019,0,0,,,,,1,
3150,SHAKE SHACK,Manhattan,10010,Hamburgers,4/5/2019,10F,N,1,4/5/2019,40.74221709,-73.98797924,105,2,5600,1000000,1008520001,MN13
3151,DOMAND'S ITALIAN GOURMET DELI & CATERERS,Queens,11354,Delicatessen,12/18/2019,06D,Y,1,12/18/2019,40.76964233,-73.83468679,407,20,86900,4100747,4043690001,QN22
3152,MENDY'S,Manhattan,10017,Jewish/Kosher,1/15/2020,10F,N,1,1/15/2020,40.75185503,-73.97703417,105,4,9200,1035383,1012800030,MN19
3153,LIBERTY PIZZA,Brooklyn,11205,Pizza,1/16/2020,04L,Y,0,,40.69340523,-73.96605217,302,35,19500,3054867,3019040033,BK69
3154,"DUNKIN', BASKIN ROBBINS",Queens,11104,Donuts,12/12/2018,10F,N,1,12/12/2018,40.74364662,-73.9230128,402,26,18102,4002538,4001920030,QN31
3155,SIP SAK,Manhattan,10022,Turkish,9/12/2019,10B,N,1,9/12/2019,40.75443042,-73.96882907,106,4,9800,1039465,1013420003,MN19
3156,CANAAN CAKE HOUSE,Queens,11354,Bakery,1/14/2020,02G,Y,1,1/14/2020,40.76318767,-73.82790904,407,20,86900,4112388,4049770165,QN22
3157,CANAAN BAKERY,Queens,11354,Bakery,10/24/2019,06D,Y,1,10/24/2019,40.75971292,-73.82617095,407,20,85300,4113562,4050190080,QN22
3158,STARBUCKS COFFEE,Brooklyn,11217,Café/Coffee/Tea,8/23/2019,06F,Y,1,8/23/2019,40.68442994,-73.97772452,302,35,3500,3348849,3020017501,BK68
3159,STARBUCKS,Manhattan,10022,Café/Coffee/Tea,5/29/2019,,,1,5/29/2019,40.75828824,-73.97466042,105,4,10200,1076267,1012870028,MN17
3160,EL RINCONCITO DE NAGUA,Queens,11421,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",12/26/2019,10F,N,1,12/26/2019,40.69159376,-73.86536263,409,30,400,4183078,4089050010,QN53
3161,FANELLI CAFE,Manhattan,10012,American,12/3/2019,10F,N,1,12/3/2019,40.72467592,-73.9987048,102,1,4900,1007611,1004990020,MN24
3162,THE GRILL HOUSE,Bronx,10462,Middle Eastern,12/2/2019,10B,N,1,12/2/2019,40.84995177,-73.86467217,211,13,23000,2048001,2042610024,BX37
3163,MCDONALD'S,Brooklyn,11217,Hamburgers,8/12/2019,04N,Y,1,8/12/2019,40.68442994,-73.97772452,302,35,3500,3348849,3020017501,BK68
3164,GRAMERCY  ALE HOUSE,Manhattan,10010,American,9/18/2019,10F,N,1,9/18/2019,40.73789633,-73.98383384,106,2,6800,1017999,1008770047,MN21
3165,25TH DELI,Queens,11103,Delicatessen,7/18/2019,08C,N,1,7/18/2019,40.76486117,-73.90508626,401,22,14100,4014060,4007460001,QN70
3166,DISHES,Manhattan,10017,American,1/9/2020,02B,Y,0,1/9/2020,40.75521226,-73.97906152,105,4,9400,1035379,1012790065,MN17
3167,THE DUGOUT,Bronx,10452,American,6/25/2019,10A,N,1,6/25/2019,40.8283267,-73.92562453,204,8,19500,2002988,2024840009,BX63
3168,BAGELSMITH,Brooklyn,11211,American,8/7/2019,09C,N,1,8/7/2019,40.71761142,-73.95794475,301,33,55300,3062092,3023280005,BK73
3169,ANDREW'S PIZZERIA,Queens,11379,Pizza/Italian,12/23/2019,02G,Y,0,,40.72483774,-73.87953164,405,30,67100,4067444,4029370006,QN21
3170,TIA POL,Manhattan,10011,Spanish,4/25/2019,08A,N,1,4/25/2019,40.74717742,-74.00454737,104,3,9900,1012332,1006940032,MN13
3171,PATES PLUS BAKERY,Queens,11429,Bakery,12/6/2019,10F,N,0,,40.71686931,-73.73543108,413,27,56800,4231061,4107830019,QN34
3172,MAMA'S BAR,Manhattan,,American,11/15/2019,04H,Y,1,11/15/2019,0,0,,,,,1,
3173,CITY CINEMAS 123,Manhattan,10022,American,12/6/2019,10F,N,1,12/6/2019,40.76187899,-73.96633119,108,4,11000,1043357,1014140048,MN31
3174,VILLAGE EAST CINEMAS,Manhattan,10003,American,1/8/2020,06D,Y,0,,40.73063948,-73.98619171,103,2,4000,1006836,1004670031,MN22
3175,BOARDWALK BAGEL,Queens,11694,Bagels/Pretzels,1/2/2020,06D,Y,0,,40.58140641,-73.82980126,414,32,93800,4303828,4161790009,QN10
3176,GERRITTSEN BEACH PROPERTY OWNERS ASSOCIATION,Brooklyn,11229,American,8/21/2018,04N,Y,1,8/21/2018,40.58612733,-73.92419237,315,46,62800,3248871,3088561696,BK17
3177,THE MICHELANGELO,Manhattan,10019,American,11/21/2019,,,1,11/21/2019,40.7614324,-73.9821676,105,4,13100,1022710,1010037501,MN17
3178,APPLEBEE'S,Bronx,10463,American,3/5/2019,06A,Y,1,3/5/2019,40.87405296,-73.90895795,207,10,30900,1086534,2022150654,MN01
3179,DUNKIN',Manhattan,10010,Donuts,12/3/2019,08A,N,1,12/3/2019,40.73969433,-73.98517581,105,2,6800,1018039,1008790015,MN21
3180,DUNKIN',Bronx,10455,Donuts,8/12/2019,02G,Y,1,8/12/2019,40.81234237,-73.90475096,201,8,7900,2004898,2026740015,BX34
3181,TURKISH GRILL RESTAURANT & BAR,Queens,11104,Turkish,9/23/2019,10F,N,1,9/23/2019,40.74357474,-73.92225503,402,26,18102,4001943,4001630004,QN31
3182,DUNKIN',Brooklyn,11235,Jewish/Kosher,5/22/2019,06C,Y,1,5/22/2019,40.59379771,-73.94056323,315,48,59402,3327536,3074220002,BK17
3183,COOL ICE,Staten Island,10314,"Ice Cream, Gelato, Yogurt, Ices",8/28/2019,10B,N,1,8/28/2019,40.61279776,-74.12633071,501,50,18701,5018063,5007130079,SI07
3184,AWASH ETHIOPIAN RESTAURANT,Manhattan,10003,Ethiopian,10/2/2019,02H,Y,1,10/2/2019,40.72696439,-73.98754184,103,2,3800,1006241,1004470025,MN22
3185,PRETZEL MAKER,Queens,11373,Bagels/Pretzels,7/18/2019,06D,Y,1,7/18/2019,40.73384018,-73.87157703,404,25,68300,4045999,4018600100,QN29
3186,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,Manhattan,10037,Caribbean,9/24/2019,10F,N,1,9/24/2019,40.81260598,-73.94193854,110,9,21200,1053885,1017300001,MN03
3187,WINNERS BAR,Queens,11373,"Bottled beverages, including water, sodas, juices, etc.",8/20/2019,06E,Y,1,8/20/2019,40.74173591,-73.88085424,404,25,46900,4039026,4015610001,QN29
3188,CHUCK E. CHEESE'S,Brooklyn,11217,Pizza,7/25/2019,10B,N,1,7/25/2019,40.68442994,-73.97772452,302,35,3500,3348849,3020017501,BK68
3189,FREEMANS (FREEMANS ALLEY),Manhattan,10002,American,7/8/2019,02G,Y,1,7/8/2019,40.7217909,-73.99196939,103,1,3601,1005720,1004260031,MN27
3190,FRESH SALT,Manhattan,10038,American,5/10/2019,08A,N,1,5/10/2019,40.70701881,-74.00257528,101,1,1501,1078978,1000970015,MN25
3191,CAFE EXCHANGE,Manhattan,10006,American,12/23/2019,10F,N,0,12/23/2019,40.70648564,-74.01275008,101,1,1300,1000806,1000200013,MN25
3192,1 DARBAR,Manhattan,10017,Indian,4/1/2019,10B,N,1,4/1/2019,40.75369875,-73.97352883,106,4,9200,1036203,1013000145,MN19
3193,WAGNER COLLEGE - HAWK'S NEST,Staten Island,10301,American,5/2/2019,10F,N,1,5/2/2019,40.61612981,-74.09524893,501,49,4700,5147163,5006200001,SI08
3194,CREPES ON COLUMBUS,Manhattan,10025,French,9/30/2019,10D,N,1,9/30/2019,40.80099573,-73.96159411,107,7,19300,1079465,1018630029,MN09
3195,THE CAPITAL GRILLE,Manhattan,10017,Steak,9/16/2019,09C,N,1,9/16/2019,40.75117399,-73.97540664,106,4,9200,1036160,1012970031,MN19
3196,THE CONTINENTAL,Brooklyn,11249,Jewish/Kosher,11/1/2019,06C,Y,1,11/1/2019,40.70053399,-73.95941258,301,33,53700,3060752,3022170068,BK72
3197,LIBRETTO'S PIZZERIA,Manhattan,10016,American,8/7/2019,06A,Y,1,8/7/2019,40.74720815,-73.97705021,106,4,8000,1018963,1008920041,MN20
3198,JENNIFER CAFE,Manhattan,10003,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",3/6/2019,09B,N,1,3/6/2019,40.72532844,-73.98695046,103,2,3800,1006218,1004460036,MN22
3199,SWEETWATER RESTAURANT,Brooklyn,11249,American,4/17/2019,08A,N,1,4/17/2019,40.71831756,-73.9599789,301,33,55500,3062063,3023260032,BK73
3200,THE BLARNEY STONE PUB & RESTAURANT,Manhattan,10001,American,4/15/2019,10F,N,1,4/15/2019,40.74997157,-73.99506265,105,3,10100,1014350,1007800076,MN17
3201,GLATT ALA CARTE,Brooklyn,11204,Jewish/Kosher,6/5/2019,10B,N,1,6/5/2019,40.62698251,-73.98229732,312,44,47200,3129715,3054680001,BK88
3202,CHIPOTLE MEXICAN GRILL,Manhattan,10004,Mexican,3/8/2019,10B,N,1,3/8/2019,40.70411137,-74.01318603,101,1,900,1000029,1000110001,MN25
3203,CHIPOTLE MEXICAN GRILL,Brooklyn,11201,Tex-Mex,3/27/2019,10F,N,1,3/27/2019,40.69411263,-73.99183209,302,33,900,3002009,3002440013,BK09
3204,RUTH M LIEDYS SHORE INN,Staten Island,10301,American,2/11/2019,10F,N,1,2/11/2019,40.64468217,-74.09719248,501,49,8100,5001729,5000690117,SI22
3205,IHOP,Manhattan,,Pancakes/Waffles,3/13/2019,05D,Y,1,3/13/2019,0,0,,,,,1,
3206,KENNEDY CHICKEN AND PIZZA,Bronx,10459,Chicken,11/26/2019,04L,Y,0,,40.82115995,-73.89690158,202,17,8700,2005359,2026970045,BX33
3207,VILLA,Manhattan,10036,Pizza/Italian,5/1/2019,06A,Y,1,5/1/2019,40.75693187,-73.98907027,105,3,11900,1087142,1010140001,MN17
3208,SHELI RESTAURANT,Brooklyn,11211,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",2/14/2019,08A,N,1,2/14/2019,40.70571547,-73.95074235,301,33,52900,3061071,3022280027,BK72
3209,BELLE HARBOR STEAKHOUSE,Queens,11694,Steak,11/27/2019,04L,Y,0,,40.58072897,-73.83772299,414,32,93800,4303769,4161660470,QN10
3210,WAGNER COLLEGE - MAIN DINING      HALL,Staten Island,10301,American,10/1/2019,10F,N,1,10/1/2019,40.61612981,-74.09524893,501,49,4700,5147163,5006200001,SI08
3211,COMMONWEALTH,Brooklyn,11215,American,8/24/2019,06C,Y,1,8/24/2019,40.66727112,-73.98787024,306,39,13900,3337712,3010290010,BK37
3212,CUBA,Manhattan,10012,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11/7/2019,10F,N,1,11/7/2019,40.72916087,-73.99903304,102,1,6500,1008633,1005370008,MN23
3213,DUNKIN',Staten Island,10303,Donuts,1/28/2019,10B,N,1,1/28/2019,40.62680723,-74.16318923,501,49,30302,5141910,5016850090,SI12
3214,CHRIS SUPER DELI,Bronx,10451,Delicatessen,12/16/2019,02B,Y,0,12/16/2019,40.82708558,-73.92077316,204,16,18301,2002804,2024600018,BX14
3215,D-LITE CAFFE,Queens,11103,American,12/4/2019,02B,Y,1,12/4/2019,40.75699132,-73.91477836,401,26,15300,4543724,4007110001,QN70
3216,OXFORD CAFE,Manhattan,10022,Delicatessen,11/29/2019,10F,N,1,11/29/2019,40.76267579,-73.96923672,108,4,11402,1041900,1013940001,MN40
3217,DUNKIN',Manhattan,10039,Donuts,5/31/2019,10F,N,1,5/31/2019,40.82068108,-73.93684071,110,9,23200,1060172,1020130038,MN03
3218,IRISH ROVER,Queens,11103,Irish,2/1/2019,10F,N,1,2/1/2019,40.76611238,-73.91508072,401,22,6502,4010710,4006610024,QN70
