,DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
21043,Izumi Sushi,Manhattan,10001,Japanese,1/8/2019,02B,Y,1,1/8/2019,40.74654317,-73.99170654,105,3,9500,1015102,1008040015,MN17
21044,BONCHON,Brooklyn,11201,Korean,8/28/2019,09B,N,1,8/28/2019,40.69216877,-73.98599777,302,33,1100,3000409,3001520028,BK38
21045,PAPA JOHNS PIZZA,Brooklyn,11223,Pizza,9/10/2019,10F,N,1,9/10/2019,40.59655289,-73.97710219,311,47,40000,3191212,3071000045,BK29
21046,BLACK BRICK,Brooklyn,11249,Café/Coffee/Tea,6/27/2019,10F,N,1,6/27/2019,40.71414329,-73.96152892,301,34,55100,3062778,3023920030,BK73
21047,MILE END DELICATESSEN,Brooklyn,11217,American,10/18/2019,02H,Y,1,10/18/2019,40.68750004,-73.98716703,302,33,4100,3000872,3001830007,BK38
21048,ELOISE,Queens,11370,French,7/3/2019,02H,Y,1,7/3/2019,40.75860529,-73.89202107,403,22,30903,4439602,4011240001,QN28
21049,NO. 8 KITCHEN & BAR,Queens,11354,Chinese,5/16/2019,04A,Y,0,,40.76403582,-73.83162147,407,20,86900,4450171,4049580040,QN22
21050,FOO SHUN RESTAURANT,Brooklyn,11208,Chinese,9/4/2019,10F,N,1,9/4/2019,40.67442347,-73.87858479,305,37,119400,3089341,3040230016,BK82
21051,WISE EXPRESS,Brooklyn,11235,Eastern European,7/16/2019,04N,Y,0,,40.57751179,-73.96438338,313,48,36200,3244753,3086720091,BK19
21052,DOMODOMO KITCHEN/ RAW BAR,Manhattan,10012,Seafood,10/9/2019,10F,N,1,10/9/2019,40.72782142,-74.00171018,102,3,6500,1008338,1005260079,MN23
21053,Waza,Brooklyn,11205,Japanese,8/5/2019,10H,N,1,8/5/2019,40.69346,-73.9656158,302,35,19100,3054526,3018910084,BK69
21054,YUMMY DESSERTS,Queens,11354,Bakery,9/5/2019,06D,Y,1,9/5/2019,40.76423598,-73.83336458,407,20,86900,4308685,4049467501,QN22
21055,LATINO COFFEE SHOP & PIZZA,Queens,11433,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",10/11/2019,08A,N,1,10/11/2019,40.69802618,-73.80200751,412,27,20800,4215645,4101070155,QN61
21056,LONG WON,Brooklyn,11236,Chinese,6/4/2019,02H,Y,1,6/4/2019,40.63735094,-73.89363764,318,46,101200,3232808,3082620006,BK50
21057,DIG INN,Brooklyn,11211,American,11/19/2019,10H,N,1,11/19/2019,40.71579474,-73.9589307,301,34,55300,3062371,3023520009,BK73
21058,LITTLE TONG NOODLE SHOP,Manhattan,10022,Asian,8/28/2019,08A,N,0,8/28/2019,40.75733429,-73.96851007,106,4,9800,1038554,1013270015,MN19
21059,EL ENCEBOLLADO DE VICTOR,Brooklyn,11237,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",8/21/2019,02G,Y,0,8/21/2019,40.70102536,-73.9222796,304,37,42900,3073834,3032460027,BK77
21060,HUDSON RESTAURANT,Brooklyn,11249,French,5/29/2019,06D,Y,1,5/29/2019,40.71274925,-73.96241709,301,34,55100,3063102,3024170028,BK73
21061,MIKEY'S FAMOUS PIZZA AND CHICKEN,Queens,11691,Pizza,8/7/2019,06A,Y,0,8/7/2019,40.60544722,-73.75514514,414,31,103201,4297851,4155280001,QN15
21062,BROTHER JIMMY'S BBQ,Manhattan,10016,Barbecue,9/24/2019,04N,Y,0,,40.74462331,-73.98099923,106,2,7200,1078756,1008870030,MN20
21063,"RBQ BAR, RESTAURANT AND MARKET",Queens,11693,Barbecue,11/19/2019,08A,N,0,11/19/2019,40.58484284,-73.819035,414,32,94201,4454206,4161530001,QN10
21064,CHARLEY ST,Manhattan,10012,American,10/8/2019,06D,Y,1,10/8/2019,40.72076729,-73.99537868,102,1,4100,1007158,1004790005,MN24
21065,XINYA,Bronx,10474,Chinese,9/6/2019,04K,Y,1,9/6/2019,40.81926752,-73.88959191,202,17,11502,2006321,2027610010,BX27
21066,FORDHAM SEAFOOD & CHICKEN,Bronx,10458,American,2/1/2019,10F,N,1,2/1/2019,40.86166737,-73.89754713,205,15,23702,2094664,2031530001,BX05
21067,VALERIO JUICE BAR,Queens,11356,"Juice, Smoothies, Fruit Salads",8/15/2019,02B,Y,1,8/15/2019,40.7846469,-73.8457787,407,19,92900,4437973,4040850049,QN23
21068,WARUDE,Brooklyn,11216,Japanese,1/16/2020,06D,Y,1,1/16/2020,40.68439652,-73.94411301,303,36,26700,3052048,3018300003,BK75
21069,LITTLE FRANKIES PIZZERIA,Queens,11412,Pizza,7/17/2019,10B,N,1,7/17/2019,40.69569902,-73.74770451,412,27,53200,4238668,4110780001,QN34
21070,ROLLY,Queens,11362,Korean,3/12/2019,02H,Y,1,3/12/2019,40.76983421,-73.73618019,411,19,147900,4438361,4081290071,QN45
21071,L'WREN,Brooklyn,11232,American,5/1/2019,04H,Y,1,5/1/2019,40.65060537,-74.00460203,307,38,8200,3010600,3007140040,BK32
21072,GOLDEN DRAGON,Staten Island,10304,Chinese,7/16/2019,04L,Y,0,7/16/2019,40.62547716,-74.07495909,501,49,600,5013230,5004960104,SI37
21073,MARITZA'S CAKE,Manhattan,10032,Bakery,1/7/2020,02G,Y,1,1/7/2020,40.83894498,-73.93757141,112,10,24900,1062662,1021110084,MN36
21074,YIA YIA'S TAVERNA,Brooklyn,11237,Greek,12/11/2019,04N,Y,0,12/11/2019,40.70387721,-73.9308962,301,34,45300,3070733,3030120030,BK77
21075,Pinocchio Restaurant,Manhattan,10128,Italian,12/19/2018,06D,Y,1,12/19/2018,40.77977036,-73.94724627,108,5,15200,1050745,1015700050,MN32
21076,PIZZA SECRET,Brooklyn,11217,Pizza,9/17/2019,04L,Y,1,9/17/2019,40.68076837,-73.97752024,306,39,12901,3018664,3009340039,BK37
21077,YUMMY 88,Brooklyn,11237,Chinese,10/9/2019,02B,Y,1,10/9/2019,40.7007505,-73.92583593,304,34,42300,3072908,3032080028,BK78
21078,VIN SUR VINGT,Manhattan,10069,French,9/26/2019,02A,Y,0,9/26/2019,40.77603817,-73.98968454,107,6,15100,1087705,1011717505,MN14
21079,POKE STOP,Brooklyn,11235,Hawaiian,11/25/2019,10E,N,1,11/25/2019,40.58558779,-73.95168095,315,48,60600,3247005,3087700013,BK17
21080,VENECIA PIZZARIA,Staten Island,10303,Pizza,6/11/2019,06C,Y,1,6/11/2019,40.6249676,-74.14745666,501,49,30301,5150289,5014790001,SI12
21081,FRESH DIRECT CAFETERIA,Bronx,10454,American,9/25/2019,10I,N,1,9/25/2019,40.80222093,-73.92077036,201,8,1900,2124443,2025430001,BX39
21082,NEWTOWN,Brooklyn,11206,Middle Eastern,12/6/2019,04L,Y,0,12/6/2019,40.70915896,-73.93707303,301,34,48500,3350278,3030460035,BK78
21083,QUICKLY,Queens,11373,Chinese,8/6/2019,06C,Y,1,8/6/2019,40.74090587,-73.87978034,404,25,48500,4314481,4015440130,QN50
21084,CURRY EXPRESS,Manhattan,10016,Indian,10/1/2019,04L,Y,1,10/1/2019,40.74314675,-73.98177554,106,2,7200,1018226,1008840060,MN20
21085,CHIKURIN,Brooklyn,11214,Chinese/Japanese,6/26/2019,06C,Y,1,6/26/2019,40.59960695,-73.99001799,311,47,30000,3329280,3068630038,BK29
21086,RAMEN SPOT,Brooklyn,11222,Asian,12/2/2019,06A,Y,0,,40.72667798,-73.95243694,301,33,56100,3330096,3026200001,BK76
21087,FULLTIME NETCAFE,Brooklyn,11228,Café/Coffee/Tea,5/8/2019,10H,N,1,5/8/2019,40.62132395,-74.00637228,310,43,20000,3158840,3061990143,BK30
21088,NEW CHEUN HING KITCHEN,Queens,11419,Chinese,9/12/2019,06B,Y,1,9/12/2019,40.69169861,-73.81979322,409,28,15600,4200885,4094930109,QN54
21089,STAY GOLD,Manhattan,10016,American,9/18/2019,06E,Y,0,,40.74088505,-73.98165708,106,2,6800,1018142,1008820044,MN21
21090,STARBUCKS COFFEE #53473,Manhattan,10006,Café/Coffee/Tea,12/2/2019,10F,N,1,12/2/2019,40.70663113,-74.01263108,101,1,1300,1000807,1000200016,MN25
21091,BLUE BOTTLE COFFEE,Manhattan,10023,Café/Coffee/Tea,6/18/2019,06D,Y,1,6/18/2019,40.7793747,-73.98105427,107,6,15700,1030007,1011450001,MN14
21092,CHRIS RESTAURANT,Queens,11419,Spanish,8/7/2019,02B,Y,1,8/7/2019,40.68576805,-73.82751828,410,28,9800,4201950,4095200027,QN55
21093,WAYLA/LITTLE WAYLA,Manhattan,10002,Thai,9/18/2019,06E,Y,0,9/18/2019,40.71837647,-73.99284641,103,1,1800,1005561,1004180032,MN27
21094,MANNA CATERING,Queens,11358,Other,9/11/2019,04N,Y,0,9/11/2019,40.75783933,-73.78915207,411,19,142900,4124424,4055160016,QN48
21095,TASTY TAIWAN LLC,Manhattan,10003,Chinese,7/10/2019,09B,N,1,7/10/2019,40.7289215,-73.98847234,103,2,3800,1083489,1004630022,MN22
