DBA,borough,ZIPCODE,CUISINE DESCRIPTION,INSPECTION DATE,VIOLATION CODE,CRITICAL FLAG,score,GRADE DATE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
LIAN SHENG RESTAURANT,less wealthy,11220,Chinese,12/3/19,10F,N,1,12/3/19,40.63702127,-74.00797714,307,38,10400,3015889,3008500046,BK34
DEBORAH MILLER,wealthier,10038,American,4/8/19,10F,N,1,4/8/19,40.71171788,-74.00060599,103,1,2700,1086087,1001170001,MN27
FOUNTAIN OF SPA,less wealthy,11354,"Juice, Smoothies, Fruit Salads",5/10/19,06C,Y,1,5/10/19,40.76756593,-73.83186161,407,20,86900,4112019,4049500048,QN22
NEW TOPAZ,wealthier,10019,Thai,10/23/19,02G,Y,1,10/23/19,40.76412169,-73.9787988,105,4,13700,1023453,1010090017,MN17
TOPAZ NOODLE BAR,wealthier,10019,Asian,10/7/19,09C,N,1,10/7/19,40.7641519,-73.97886377,105,4,13700,1023452,1010090016,MN17
BIG ARC CHICKEN,wealthier,10003,Middle Eastern,12/11/19,04N,Y,1,12/11/19,40.73113306,-73.98272418,103,2,4000,1006523,1004550035,MN22
RAMEN-YA,wealthier,10012,Japanese,11/4/19,04L,Y,1,11/4/19,40.73079127,-74.00085152,102,1,6500,1083154,1005430067,MN23
IKI MODERN JAPANESE CUISINE,less wealthy,11354,Japanese,7/2/19,09C,N,1,7/2/19,40.75909891,-73.83413912,407,20,87100,4596186,4049737501,QN22
BAY THAI RESTAURANT,less wealthy,11220,Thai,12/20/18,10F,N,1,12/20/18,40.6370187,-74.02550954,310,43,6800,3144697,3058540108,BK31
Deep Indian Kitchen,wealthier,10019,Indian,8/15/19,08C,N,1,8/15/19,40.76577482,-73.98354546,105,3,13700,1024888,1010270063,MN17
MAITE,less wealthy,11221,Spanish,6/19/19,06D,Y,1,6/19/19,40.69903564,-73.92681518,304,34,42300,3072901,3032080001,BK78
WING WORLD,wealthier,10314,American,6/12/19,04C,Y,1,6/12/19,40.60541744,-74.12086067,502,50,18702,5106943,5007520416,SI05
PARIS BAGUETTE CAFE,wealthier,10025,Bakery,7/3/19,02B,Y,1,7/3/19,40.79501232,-73.97150066,107,7,18300,1056064,1018680044,MN12
NOODLE HOUSE,less wealthy,11362,Chinese,11/21/19,09B,N,1,11/21/19,40.76018124,-73.73160893,411,23,152902,4172803,4083360001,QN45
HAWA SMOOTHIE,wealthier,10009,"Juice, Smoothies, Fruit Salads",11/29/19,08C,N,1,11/29/19,40.73088858,-73.98144696,103,2,3400,1006016,1004410018,MN22
CHARLEY'S Philly Steak's,less wealthy,11373,Sandwiches/Salads/Mixed Buffet,1/15/20,04N,Y,1,1/15/20,40.73384018,-73.87157703,404,25,68300,4045999,4018600100,QN29
SOPHIES CUBAN CUISINE,wealthier,10038,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",1/17/20,02I,Y,1,1/17/20,40.70902513,-74.00543928,101,1,1502,1001184,1000760028,MN25
ESCAPE INTERNATIONAL CUISINE,less wealthy,10461,American,6/1/19,06D,Y,1,6/1/19,40.84844485,-73.83141783,210,13,26601,2046591,2041940039,BX10
ROCCO'S TACOS & TEQUILA BAR,less wealthy,11201,Mexican,9/23/19,02B,Y,0,9/23/19,40.69349207,-73.98891123,302,33,1100,3000000,3001400160,BK38
THAI HOLIC,less wealthy,11205,Thai,1/16/20,10F,N,1,1/16/20,40.69317337,-73.97132799,302,35,18300,3058368,3020740026,BK68
NACHO MACHO TACO,less wealthy,11238,Mexican,10/9/19,08A,N,1,10/9/19,40.6762519,-73.96212048,308,35,30500,3028598,3011550001,BK61
KIMBOB NARA,less wealthy,11354,Korean,4/9/19,10F,N,1,4/9/19,40.76482571,-73.81180062,407,20,115500,4458853,4052660014,QN51
NOMADO 33,wealthier,10016,Japanese,9/5/19,10F,N,1,9/5/19,40.7454355,-73.97949768,106,2,7200,1018500,1008890035,MN20
RICHNESS  RESTAURANT,less wealthy,11212,Caribbean,12/3/19,04A,Y,1,12/3/19,40.66375019,-73.92472739,317,41,88400,3099506,3045980046,BK96
